"endpoint","avg","min","med","p90","p95","max","http_req_failed","checks_succeeded","checks_failed","http_reqs"
"courses-auth-check","195.71ms","53.65ms","102.5ms","440.15ms","594.14ms","2.94s","0.00%  0 out of 2976","100.00% 2976 out of 2976","0.00%   0 out of 2976","2976   14.121483/s"
"courses-list","434.76ms","60.14ms","306.91ms","942.96ms","1.14s","2.91s","0.00%  0 out of 2486","100.00% 2486 out of 2486","0.00%   0 out of 2486","2486   11.792144/s"
"gamification-badges","129.8ms","57.38ms","77.55ms","288.67ms","416.5ms","1.6s","0.00%  0 out of 3150","100.00% 3150 out of 3150","0.00%   0 out of 3150","3150   14.968116/s"
"gamification-daily-challenges","135.86ms","59.01ms","83.84ms","296.06ms","421.08ms","1.1s","0.00%  0 out of 3131","100.00% 3131 out of 3131","0.00%   0 out of 3131","3131   14.853152/s"
"notifications-all","87.79ms","57.33ms","72.79ms","111.73ms","150.54ms","2.55s","0.00%  0 out of 3273","100.00% 3273 out of 3273","0.00%   0 out of 3273","3273   15.508908/s"
"notifications-unread","132.47ms","58.21ms","83.42ms","201.12ms","386.77ms","1.79s","0.00%  0 out of 3142","100.00% 3142 out of 3142","0.00%   0 out of 3142","3142   14.956202/s"
"practice-history","217.12ms","63.75ms","93.88ms","602.51ms","885.79ms","2.18s","0.00%  0 out of 2926","100.00% 2926 out of 2926","0.00%   0 out of 2926","2926   13.870665/s"
"practice-suggestion","188.89ms","59.05ms","79.8ms","510.77ms","802.77ms","2.89s","0.00%  0 out of 2997","100.00% 2997 out of 2997","0.00%   0 out of 2997","2997   14.23302/s"
"recommendations-ai-coach","433.8ms","121.86ms","269.7ms","1.02s","1.3s","2.4s","0.00%  0 out of 2490","100.00% 2490 out of 2490","0.00%   0 out of 2490","2490   11.846968/s"
"recommendations-dashboard","274.52ms","63.03ms","100.04ms","727.67ms","1.02s","2.39s","0.00%  0 out of 2794","100.00% 2794 out of 2794","0.00%   0 out of 2794","2794   13.30398/s"
"recommendations-predict","126.2ms","52.98ms","73.6ms","203.44ms","404.74ms","1.8s","0.00%  0 out of 3160","100.00% 3160 out of 3160","0.00%   0 out of 3160","3160   15.046388/s"
"stats-recommendations","257.09ms","51.87ms","122.51ms","588.9ms","709ms","3.1s","0.00%  0 out of 2823","100.00% 2823 out of 2823","0.00%   0 out of 2823","2823   13.384252/s"
"stats-summary","100.64ms","51ms","76.45ms","105.42ms","172.79ms","4.21s","0.00%  0 out of 3234","100.00% 3234 out of 3234","0.00%   0 out of 3234","3234   15.382527/s"
"stats-timeseries","148.64ms","39.25ms","73.5ms","308.31ms","600.45ms","2.85s","0.00%  0 out of 3096","100.00% 3096 out of 3096","0.00%   0 out of 3096","3096   14.739621/s"
"stats-xp-history","165.07ms","53.48ms","81.55ms","405.37ms","578.59ms","1.93s","0.00%  0 out of 3055","100.00% 3055 out of 3055","0.00%   0 out of 3055","3055   14.527723/s"
"students-leaderboard","123.52ms","52.81ms","76.03ms","199.56ms","388.2ms","3.54s","0.00%  0 out of 3166","100.00% 3166 out of 3166","0.00%   0 out of 3166","3166   15.072483/s"
"students-profile","105.62ms","46.92ms","80.85ms","158.75ms","222.54ms","4.25s","0.00%  0 out of 3218","100.00% 3218 out of 3218","0.00%   0 out of 3218","3218   15.308066/s"
"study-plan-by-id","310.58ms","86.02ms","151.52ms","778.07ms","909.27ms","1.81s","0.00%  0 out of 2722","100.00% 2722 out of 2722","0.00%   0 out of 2722","2722   12.933319/s"
"study-plan-quiz","184.45ms","57.36ms","94.07ms","403.84ms","701.64ms","4.89s","0.00%  0 out of 3010","100.00% 3010 out of 3010","0.00%   0 out of 3010","3010   14.298128/s"
"study-plans-active-context","158.51ms","54.76ms","88.11ms","393.49ms","498.16ms","2.45s","0.00%  0 out of 3074","100.00% 3074 out of 3074","0.00%   0 out of 3074","3074   14.616937/s"
"study-plans-list","306.72ms","89.43ms","143.8ms","799.5ms","976.32ms","5.48s","0.00%  0 out of 2725","100.00% 2725 out of 2725","0.00%   0 out of 2725","2725   12.962041/s"
"study-plans-stats","107.37ms","51.12ms","79.82ms","174.76ms","248.13ms","1.09s","0.00%  0 out of 3211","100.00% 3211 out of 3211","0.00%   0 out of 3211","3211   15.244228/s"
